rule_id,query_name,industry,objective,category,subcategory,source_query_syntax,apply_on,speaker_hint,required_groups,forbidden_terms,window_seconds,first_n_seconds_only,exclude_first_n_seconds,compiled_regex,notes,regex_flags
432,Callback (Agent - Last 200 Secs),TWC,Calls where agent or customer references calling back at a later time at the end of a call,Call Outcome,Call Back,"Call=LAST_200(ANDNOT_35(""call back"",OR(""brief Survey"",""fill the survey"",""rate me on my"",""regards to a survey"")))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""brief Survey"", ""fill the survey"", ""rate me on my"", ""regards to a survey""]]",[],,,,^(?=.*(?:brief\s+Survey|fill\s+the\s+survey|rate\s+me\s+on\s+my|regards\s+to\s+a\s+survey)).*$,,IGNORECASE
433,CallBack Agent,TWC,Calls where agent or customer references calling back at a later time at the end of a call,Call Outcome,Call Back,"Callback=LAST_60(OR( Give us a call back , Call you back , Give you a call back ))
Number=AND_7( Number , Call Back )
Result=OR(Callback,Number)

Survey=OR( rate me on my , feedback , Evaluate )

Call=OR( call back , survey call )

Result1=LAST_20(AND_5(Survey,Call))

Final=ANDNOT_5(Result,Result1)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Give us a call back"", ""Call you back"", ""Give you a call back""], [""Callback"", ""Number""], [""rate me on my"", ""feedback"", ""Evaluate""], [""call back"", ""survey call""], [""Number""], [""Call Back""], [""Survey""], [""Call""]]",[],5,,,^(?=.*(?:Give\s+us\s+a\s+call\s+back|Call\s+you\s+back|Give\s+you\s+a\s+call\s+back))(?=.*(?:Callback|Number))(?=.*(?:rate\s+me\s+on\s+my|feedback|Evaluate))(?=.*(?:call\s+back|survey\s+call))(?=.*(?:Number))(?=.*(?:Call\s+Back))(?=.*(?:Survey))(?=.*(?:Call)).*$,,IGNORECASE
434,Caller ID on TV,TWC,Identify calls where the set top caller Id feature is mentioned in the first 2 mins,Technical,TV related,"Caller=OR( Caller I D on T V , Caller I D on my T V , Caller I D on your T V , Caller I D on T V Screen )
Issues=AND_5(Caller, OR( Not working , Settings Button , prompt is on , does not show up ))

Result=FIRST_120(OR(Caller, Issues))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Caller I D on T V"", ""Caller I D on my T V"", ""Caller I D on your T V"", ""Caller I D on T V Screen""], [""Not working"", ""Settings Button"", ""prompt is on"", ""does not show up""], [""Caller"", ""Issues""], [""Caller""], [""OR( Not working , Settings Button , prompt is on , does not show up""]]",[],5,120,,"^(?=.*(?:Caller\s+I\s+D\s+on\s+T\s+V|Caller\s+I\s+D\s+on\s+my\s+T\s+V|Caller\s+I\s+D\s+on\s+your\s+T\s+V|Caller\s+I\s+D\s+on\s+T\s+V\s+Screen))(?=.*(?:Not\s+working|Settings\s+Button|prompt\s+is\s+on|does\s+not\s+show\s+up))(?=.*(?:Caller|Issues))(?=.*(?:Caller))(?=.*(?:OR\(\s+Not\s+working\s+,\s+Settings\s+Button\s+,\s+prompt\s+is\s+on\s+,\s+does\s+not\s+show\s+up)).*$",,IGNORECASE
435,Cancel Request (First 120 Secs),TWC,Identify calls where cancellation is mentioned,Cancel Intent,Cancellation,"Phrase=FIRST_120(OR(want to cancel calling to cancel NOTLIKE(Cancel my cable My cable) 
cancel my internet Disconnect my service cancel my account 
NOTLIKE(discontinue my services get into my service) looking to cancel 
turn off the service 
NOTLIKE(calling to cancel service calling time warner cable)))

Phrase1=OR(NOTLIKE(Cancel the service set up the service customer service 
Cable services for phone service after the service local service phone service 
whole house service call the service connect the service want the service) cancel the service for us NOTLIKE(cancel my service 
customer service internet service transferring services) NOTLIKE(disconnect your services discount your services) 
cancelling your service)

Phrase2=OR(wanting to cancel service they are going to have to cancel services 
you'd like to go ahead and cancel services NOTLIKE( just need to cancel services transfer service) 
to cancel service you need disconnects and downgrades 
NOTLIKE( need to cancel service home phone service internet service transfer services phone service) 
remove the phone services from your account dropping our service 
NOTLIKE(disconnect a couple of services telephone services))

Result=OR(Phrase Phrase1 Phrase2)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Phrase Phrase1 Phrase2""]]","[""Cancel my cable My cable"", ""discontinue my services get into my service"", ""calling to cancel service calling time warner cable"", ""Cancel the service set up the service customer service Cable services for phone service after the service local service phone service whole house service call the service connect the service want the service"", ""cancel my service customer service internet service transferring services"", ""disconnect your services discount your services"", ""just need to cancel services transfer service"", ""need to cancel service home phone service internet service transfer services phone service"", ""disconnect a couple of services telephone services""]",,120,,^(?!.*Cancel\s+my\s+cable\s+My\s+cable)(?!.*discontinue\s+my\s+services\s+get\s+into\s+my\s+service)(?!.*calling\s+to\s+cancel\s+service\s+calling\s+time\s+warner\s+cable)(?!.*Cancel\s+the\s+service\s+set\s+up\s+the\s+service\s+customer\s+service\s+Cable\s+services\s+for\s+phone\s+service\s+after\s+the\s+service\s+local\s+service\s+phone\s+service\s+whole\s+house\s+service\s+call\s+the\s+service\s+connect\s+the\s+service\s+want\s+the\s+service)(?!.*cancel\s+my\s+service\s+customer\s+service\s+internet\s+service\s+transferring\s+services)(?!.*disconnect\s+your\s+services\s+discount\s+your\s+services)(?!.*just\s+need\s+to\s+cancel\s+services\s+transfer\s+service)(?!.*need\s+to\s+cancel\s+service\s+home\s+phone\s+service\s+internet\s+service\s+transfer\s+services\s+phone\s+service)(?!.*disconnect\s+a\s+couple\s+of\s+services\s+telephone\s+services)(?=.*(?:Phrase\s+Phrase1\s+Phrase2)).*$,,IGNORECASE
436,Channel Issue & Enquiry (First 200 Secs),TWC,Capture calls where customer is discussing / enquiring about a channel,Technical,TV related,"Channel1=NOTFIRST_10(OR(all channels few channels view channels Movie Channels Basic Channel H D Channel Good Channel getting channel More Channels New Channels Free Channel NOTLIKE(Channel Missing Channel my name is) Channels here and there Channel temporarily out B B C channel add channel to my account H B O NOTLIKE(Show Time Shows on it) NOTLIKE(Weather Channel Two Hundred Channes) NOTLIKE(HI Definition Channel HI Definition T V) NOTLIKE(Cable Channel Cable) NOTLIKE(Change Channel Change last month) Missing Channel local Channel Channels) )

RESULT=FIRST_200(Channel1)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Channel1""]]","[""Channel Missing Channel my name is"", ""Show Time Shows on it"", ""Weather Channel Two Hundred Channes"", ""HI Definition Channel HI Definition T V"", ""Cable Channel Cable"", ""Change Channel Change last month""]",,200,10,^(?!.*Channel\s+Missing\s+Channel\s+my\s+name\s+is)(?!.*Show\s+Time\s+Shows\s+on\s+it)(?!.*Weather\s+Channel\s+Two\s+Hundred\s+Channes)(?!.*HI\s+Definition\s+Channel\s+HI\s+Definition\s+T\s+V)(?!.*Cable\s+Channel\s+Cable)(?!.*Change\s+Channel\s+Change\s+last\s+month)(?=.*(?:Channel1)).*$,,IGNORECASE
437,Channel Issue & Enquiry (First 90 Secs),TWC,Capture calls where customer is discussing / enquiring about a channel,Technical,TV related,"Channel1=NOTFIRST_10(OR(all channels few channels view channels Movie Channels Basic Channel H D Channel Good Channel New Channels NOTLIKE(Channel Missing Channel my name is) Channel temporarily out H B O NOTLIKE(Show Time Shows on it) NOTLIKE(Weather Channel Two Hundred Channes) NOTLIKE(HI Definition Channel HI Definition T V) NOTLIKE(Cable Channel Cable) NOTLIKE(Change Channel Change last month) Missing Channel Local Channel Channels channel will be available shortly channel wont come up channel is not available) )

RESULT=FIRST_90(Channel1)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Channel1""]]","[""Channel Missing Channel my name is"", ""Show Time Shows on it"", ""Weather Channel Two Hundred Channes"", ""HI Definition Channel HI Definition T V"", ""Cable Channel Cable"", ""Change Channel Change last month""]",,90,10,^(?!.*Channel\s+Missing\s+Channel\s+my\s+name\s+is)(?!.*Show\s+Time\s+Shows\s+on\s+it)(?!.*Weather\s+Channel\s+Two\s+Hundred\s+Channes)(?!.*HI\s+Definition\s+Channel\s+HI\s+Definition\s+T\s+V)(?!.*Cable\s+Channel\s+Cable)(?!.*Change\s+Channel\s+Change\s+last\s+month)(?=.*(?:Channel1)).*$,,IGNORECASE
438,Churn Candidates,TWC,Customers calling because they need to reduce their monthly bills; they are potential churn candidates as they may change service if they don’t get the help they seek.,Cancel Intent,High Bill,"RESULT=OR(NOTLIKE(I can not afford Forward Four Digit Offer) 
Take it off NOTLIKE(Early termination fee Account Information reconnection fee) NOTLIKE(Downgrade Download) NOTLIKE(charges on my bill one time charge more to your bill) cost more money reduce my bill lower my bill NOTLIKE(save money save money each month save money now) lower your bill NOTLIKE(cheaper trees fourteen street deeper) Too Expensive my bill is too high my bill went up))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),[],"[""I can not afford Forward Four Digit Offer"", ""Early termination fee Account Information reconnection fee"", ""Downgrade Download"", ""charges on my bill one time charge more to your bill"", ""save money save money each month save money now"", ""cheaper trees fourteen street deeper""]",,,,^(?!.*I\s+can\s+not\s+afford\s+Forward\s+Four\s+Digit\s+Offer)(?!.*Early\s+termination\s+fee\s+Account\s+Information\s+reconnection\s+fee)(?!.*Downgrade\s+Download)(?!.*charges\s+on\s+my\s+bill\s+one\s+time\s+charge\s+more\s+to\s+your\s+bill)(?!.*save\s+money\s+save\s+money\s+each\s+month\s+save\s+money\s+now)(?!.*cheaper\s+trees\s+fourteen\s+street\s+deeper).*$,,IGNORECASE
439,Competitor - Direct TV,TWC,Identify competitor calls related to DTV,Competitors,TV related,"DTV=NOTLIKE( Direct T V , Your T V , off the T V , on the T V , regular T V , Watch TV , connectivity , plug the T V ,\
Directed at you , on my T V , Direct Cable line , Correct , Digital T V , Another T V )",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),[],"[""Direct T V"", ""Your T V"", ""off the T V"", ""on the T V"", ""regular T V"", ""Watch TV"", ""connectivity"", ""plug the T V"", ""Directed at you"", ""on my T V"", ""Direct Cable line"", ""Correct"", ""Digital T V"", ""Another T V""]",,,,^(?!.*Direct\s+T\s+V)(?!.*Your\s+T\s+V)(?!.*off\s+the\s+T\s+V)(?!.*on\s+the\s+T\s+V)(?!.*regular\s+T\s+V)(?!.*Watch\s+TV)(?!.*connectivity)(?!.*plug\s+the\s+T\s+V)(?!.*Directed\s+at\s+you)(?!.*on\s+my\s+T\s+V)(?!.*Direct\s+Cable\s+line)(?!.*Correct)(?!.*Digital\s+T\s+V)(?!.*Another\s+T\s+V).*$,,IGNORECASE
440,Competitor Query,TWC,Calls related to competitor of Time Warner,Competitors,TV related,"Competitor1=OR(NOTLIKE(OR(Direct T V Di-rect T V) Other T V Your T V Room Tee Vee That T V Hi Def T V High definition T V the T V Its on the T V With Your Tee Vee Direction To the T V I T V Had my T V on No signal on your T V On the T V Think your T V Diagnostic this time Every T V Different T V Digital T V This T V) Verizon NOTLIKE(Com cast Contract O-K Back on the account password Five One Broad cast Coming I guess) \NOTLIKE(Netflix That's like that is Like That's it That's what going on here Netbook))
Competitor2=OR(NOTLIKE(Dish Tee Vee With this T V The T V Nation T V Your T V Turn my T V on Diagnostic High Definition T V High Def T V Only T V) NOTLIKE(Verizon Fios All the Files Notify Us File System) \ NOTLIKE(Apple T V Actual T V Hi Def T V Stuff of the T V Cancel T V Service So that Channel H D T V Channel TV Service Your T V) Vonage U Verse Magic Jack)
Market=OR(NOTLIKE(Fairpoint Appointment) Frontier R C N Wind Stream Century Link NOTLIKE(H T C H D T V) Hargray Ae Tee An Tee NorthState)
RESULT=OR(Competitor1 Competitor2 Market)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Competitor1 Competitor2 Market""]]","[""Com cast Contract O-K Back on the account password Five One Broad cast Coming I guess"", ""Dish Tee Vee With this T V The T V Nation T V Your T V Turn my T V on Diagnostic High Definition T V High Def T V Only T V"", ""Verizon Fios All the Files Notify Us File System"", ""Apple T V Actual T V Hi Def T V Stuff of the T V Cancel T V Service So that Channel H D T V Channel TV Service Your T V"", ""Fairpoint Appointment"", ""H T C H D T V""]",,,,^(?!.*Com\s+cast\s+Contract\s+O\-K\s+Back\s+on\s+the\s+account\s+password\s+Five\s+One\s+Broad\s+cast\s+Coming\s+I\s+guess)(?!.*Dish\s+Tee\s+Vee\s+With\s+this\s+T\s+V\s+The\s+T\s+V\s+Nation\s+T\s+V\s+Your\s+T\s+V\s+Turn\s+my\s+T\s+V\s+on\s+Diagnostic\s+High\s+Definition\s+T\s+V\s+High\s+Def\s+T\s+V\s+Only\s+T\s+V)(?!.*Verizon\s+Fios\s+All\s+the\s+Files\s+Notify\s+Us\s+File\s+System)(?!.*Apple\s+T\s+V\s+Actual\s+T\s+V\s+Hi\s+Def\s+T\s+V\s+Stuff\s+of\s+the\s+T\s+V\s+Cancel\s+T\s+V\s+Service\s+So\s+that\s+Channel\s+H\s+D\s+T\s+V\s+Channel\s+TV\s+Service\s+Your\s+T\s+V)(?!.*Fairpoint\s+Appointment)(?!.*H\s+T\s+C\s+H\s+D\s+T\s+V)(?=.*(?:Competitor1\s+Competitor2\s+Market)).*$,,IGNORECASE
441,Competitor-AT&T Uverse,TWC,Identify competitor calls related to Uverse,Competitors,Process Specific,"Uverse=OR(NOTLIKE( A T N T u verse , service , universal , internet , yours ,\
continent , try that and ),NOTLIKE( U-verse , yours , universal , service ,\
you were saying , you ever ))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),[],"[""A T N T u verse"", ""service"", ""universal"", ""internet"", ""yours"", ""continent"", ""U-verse"", ""yours"", ""universal"", ""service"", ""you were saying"", ""you ever""]",,,,^(?!.*A\s+T\s+N\s+T\s+u\s+verse)(?!.*service)(?!.*universal)(?!.*internet)(?!.*yours)(?!.*continent)(?!.*U\-verse)(?!.*yours)(?!.*universal)(?!.*service)(?!.*you\s+were\s+saying)(?!.*you\s+ever).*$,,IGNORECASE
442,Competitor-Verizon/Fios,TWC,Identify competitor calls related to Verizon / Fios,Competitors,Phone related,"Phrase1=OR(NOTLIKE( Verizon , phone , supervisor , pricing , horizon , zone , not authorized ),\
NOTLIKE( verizon Fios , file , Five , service , phone , profile ))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),[],"[""Verizon"", ""phone"", ""supervisor"", ""pricing"", ""horizon"", ""zone"", ""not authorized"", ""verizon Fios"", ""file"", ""Five"", ""service"", ""phone"", ""profile""]",,,,^(?!.*Verizon)(?!.*phone)(?!.*supervisor)(?!.*pricing)(?!.*horizon)(?!.*zone)(?!.*not\s+authorized)(?!.*verizon\s+Fios)(?!.*file)(?!.*Five)(?!.*service)(?!.*phone)(?!.*profile).*$,,IGNORECASE
443,Connectivity - Internet Wireless,TWC,Calls related to customers using wireless router,Technical,Connectivity issue,"Internet=OR(NOTLIKE(Wireless Internet Internet files) Wireless Router 
Wire-Less network Net-work Name Network-Password 

NOTLIKE(wireless security password social security) wireless devices wireless key 
trying to connect through a wireless device 

NOTLIKE(security key password security can you verify security just need 
social security security purposes security networks) wireless service 
it is wireless wireless password NOTLIKE(wireless modem modem) \
wireless is out wireless card wireless signal NOTLIKE(wireless department 
retention department collection department promotions department) wireless )

Issues=OR(Having Trouble NOTLIKE(Not Working net working) NOTLIKE(Unable to Help You) hook up Having Problem NOTLIKE(Not Detecting Not taking) NOTLIKE(disable desktop Cable) X-box not able to can't go online 
connecting NOTLIKE(connect disconnect) NOTLIKE(connected dis-connected) net-gear link-sys NOTLIKE(connection Disconnection) capability problem with issue with installation)

Issue1=NOTLIKE(OR(Wireless wirelessly router) why was i asking line with you usually wireless solutions whole connection internet remote modem digital cable signal cable box cable service lines cable Tee vee phone)

Result=OR(AND_2(Issues Issue1) internet)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Wireless wirelessly router""], [""Issues Issue1""]]","[""Wireless Internet Internet files"", ""wireless security password social security"", ""security key password security can you verify security just need social security security purposes security networks"", ""wireless modem modem"", ""wireless department retention department collection department promotions department"", ""Not Working net working"", ""Unable to Help You"", ""Not Detecting Not taking"", ""disable desktop Cable"", ""connect disconnect"", ""connected dis-connected"", ""connection Disconnection""]",2,,,^(?!.*Wireless\s+Internet\s+Internet\s+files)(?!.*wireless\s+security\s+password\s+social\s+security)(?!.*security\s+key\s+password\s+security\s+can\s+you\s+verify\s+security\s+just\s+need\s+social\s+security\s+security\s+purposes\s+security\s+networks)(?!.*wireless\s+modem\s+modem)(?!.*wireless\s+department\s+retention\s+department\s+collection\s+department\s+promotions\s+department)(?!.*Not\s+Working\s+net\s+working)(?!.*Unable\s+to\s+Help\s+You)(?!.*Not\s+Detecting\s+Not\s+taking)(?!.*disable\s+desktop\s+Cable)(?!.*connect\s+disconnect)(?!.*connected\s+dis\-connected)(?!.*connection\s+Disconnection)(?=.*(?:Wireless\s+wirelessly\s+router))(?=.*(?:Issues\s+Issue1)).*$,,IGNORECASE
444,Connectivity - Internet Wireless (First 60 Secs),TWC,Calls related to customers using wireless router,Technical,Connectivity issue,"Internet=FIRST_60(OR(NOTLIKE(Wireless Internet Internet files) Wireless Router Wire-Less network Net-work Name 
NOTLIKE(wireless security password social security) wireless devices wireless password wireless modem 
NOTLIKE(security key password security can you verify security just need social security security purposes security networks last four digits) wireless wirelessly wireless signal))


Issues=FIRST_60(OR(Having Trouble 
NOTLIKE(Unable to Help You able to) Having Problem connecting NOTLIKE(connected dis-connected) trouble with Problem with is not working)))


Issue1=FIRST_60(AND_2(NOTLIKE(OR(Wireless wirelessly router) 
why was i asking line with you usually wireless solutions whole connection) issues internet remote modem digital cable 
signal cable box cable service lines 
cable Tee vee phone) issues))

Result=OR(Issue1 internet)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""Wireless wirelessly router""], [""Issue1 internet""]]","[""Wireless Internet Internet files"", ""wireless security password social security"", ""security key password security can you verify security just need social security security purposes security networks last four digits"", ""Unable to Help You able to"", ""connected dis-connected""]",2,60,,^(?!.*Wireless\s+Internet\s+Internet\s+files)(?!.*wireless\s+security\s+password\s+social\s+security)(?!.*security\s+key\s+password\s+security\s+can\s+you\s+verify\s+security\s+just\s+need\s+social\s+security\s+security\s+purposes\s+security\s+networks\s+last\s+four\s+digits)(?!.*Unable\s+to\s+Help\s+You\s+able\s+to)(?!.*connected\s+dis\-connected)(?=.*(?:Wireless\s+wirelessly\s+router))(?=.*(?:Issue1\s+internet)).*$,,IGNORECASE
445,Connectivity - Modem,TWC,This query returns calls wherein customers are calling with the modem issue.,Technical,Connectivity issue,"Issue=OR(NOTLIKE(not working is working m working) NOTLIKE(offline online) NOTLIKE(not getting signals Updating signal) 
NOTLIKE(not communicating is somehow communicating its communicating) )

ModemIssue1=BEFORE_2(Modem Issue)

ModemIssue2=OR(NOTLIKE(problem with the modem problem with another movie problem one moment) 
replace my modem reset the modem 
NOTLIKE(re set your modem checked your modem wait for the modem 
your modem is ok your modem is actually online re set the box reset your phone equipement) 
NOTLIKE(resetting the modem coming from modem using the modem) )

RESULT=NOTLIKE(OR(ModemIssue1 ModemIssue2) open ended amount i can pay late)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""ModemIssue1 ModemIssue2""]]","[""not working is working m working"", ""offline online"", ""not getting signals Updating signal"", ""not communicating is somehow communicating its communicating"", ""problem with the modem problem with another movie problem one moment"", ""re set your modem checked your modem wait for the modem your modem is ok your modem is actually online re set the box reset your phone equipement"", ""resetting the modem coming from modem using the modem""]",,,,^(?!.*not\s+working\s+is\s+working\s+m\s+working)(?!.*offline\s+online)(?!.*not\s+getting\s+signals\s+Updating\s+signal)(?!.*not\s+communicating\s+is\s+somehow\s+communicating\s+its\s+communicating)(?!.*problem\s+with\s+the\s+modem\s+problem\s+with\s+another\s+movie\s+problem\s+one\s+moment)(?!.*re\s+set\s+your\s+modem\s+checked\s+your\s+modem\s+wait\s+for\s+the\s+modem\s+your\s+modem\s+is\s+ok\s+your\s+modem\s+is\s+actually\s+online\s+re\s+set\s+the\s+box\s+reset\s+your\s+phone\s+equipement)(?!.*resetting\s+the\s+modem\s+coming\s+from\s+modem\s+using\s+the\s+modem)(?=.*(?:ModemIssue1\s+ModemIssue2)).*$,,IGNORECASE
446,Connectivity - Slow,TWC,Connectivity issues around slow speed of connection,Technical,Connectivity issue,"Result=NOTLIKE(OR(getting slow connection slow connectivity 
extremely slow It's really slow It's very slow Slow to respond Just a little sluggish Takes long time to load) cable connection 
wireless connection internet connection still no connection noo connection connectivity issue cant connect to internet physical connection issue Extremely well Extremely polite Extremely frustrating Help you with your connection issue Extremely fast Basically is 
I'll be transfering you Seems like it gets blurry Just unplug it Takes a long time It looks like they started Account number or last four
of the social For the information Like change 
Three six three Are basically Just a modem Just a Push it very slowly pertinent services that were affected 
just noticed the box certainly ping or not more than happy to
help you good connection full connection run signal test 
loosing connection)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""getting slow connection slow connectivity extremely slow It's really slow It's very slow Slow to respond Just a little sluggish Takes long time to load""]]",[],,,,^(?=.*(?:getting\s+slow\s+connection\s+slow\s+connectivity\s+extremely\s+slow\s+It's\s+really\s+slow\s+It's\s+very\s+slow\s+Slow\s+to\s+respond\s+Just\s+a\s+little\s+sluggish\s+Takes\s+long\s+time\s+to\s+load)).*$,,IGNORECASE
447,Credit /Refund,TWC,Capture calls where customers are asking for refund/credit,Billing,Credit,"A=OR(give you a looking for on your next bill balance should see a Additional Charges \
showing Was Issued getting that for remaining will get gave you prorated one day \
Giving Us on the account for today put on account towards the next months)

B=OR(card not working slash adjustment section correct report issue scores Kard Car)
C=OR(phone wireless include increase previous current)
Final1=ANDNOT_20(A C)
Final2=ANDNOT_20(Credit B)
Final3=AND_5(Final1 Final2)

Final4=NOTLIKE(OR(Refund Refunded) Home Number Phone Number)

RESULT=OR(Final3 Final4)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""give you a looking for on your next bill balance should see a Additional Charges showing Was Issued getting that for remaining will get gave you prorated one day Giving Us on the account for today put on account towards the next months""], [""card not working slash adjustment section correct report issue scores Kard Car""], [""phone wireless include increase previous current""], [""Refund Refunded""], [""Final3 Final4""], [""Final1 Final2""]]",[],5,,,^(?=.*(?:give\s+you\s+a\s+looking\s+for\s+on\s+your\s+next\s+bill\s+balance\s+should\s+see\s+a\s+Additional\s+Charges\s+showing\s+Was\s+Issued\s+getting\s+that\s+for\s+remaining\s+will\s+get\s+gave\s+you\s+prorated\s+one\s+day\s+Giving\s+Us\s+on\s+the\s+account\s+for\s+today\s+put\s+on\s+account\s+towards\s+the\s+next\s+months))(?=.*(?:card\s+not\s+working\s+slash\s+adjustment\s+section\s+correct\s+report\s+issue\s+scores\s+Kard\s+Car))(?=.*(?:phone\s+wireless\s+include\s+increase\s+previous\s+current))(?=.*(?:Refund\s+Refunded))(?=.*(?:Final3\s+Final4))(?=.*(?:Final1\s+Final2)).*$,,IGNORECASE
448,Credit/Refund (First 200 Secs),TWC,Capture calls where customers are asking for refund/credit,Billing,Credit,"A=OR(give you a looking for on your next bill balance should see a Additional Charges \
showing Was Issued getting that for remaining will get gave you prorated one day \
Giving Us on the account for today put on account towards the next months)

B=OR(card not working slash adjustment section correct report issue scores Kard Car)
C=OR(phone wireless include increase previous current)
Final1=ANDNOT_20(A C)
Final2=ANDNOT_20(Credit B)
Final3=AND_5(Final1 Final2)

Final4=NOTLIKE(OR(Refund Refunded) Home Number Phone Number)

RESULT=FIRST_200(OR(Final3 Final4))",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""give you a looking for on your next bill balance should see a Additional Charges showing Was Issued getting that for remaining will get gave you prorated one day Giving Us on the account for today put on account towards the next months""], [""card not working slash adjustment section correct report issue scores Kard Car""], [""phone wireless include increase previous current""], [""Refund Refunded""], [""Final3 Final4""], [""Final1 Final2""]]",[],5,200,,^(?=.*(?:give\s+you\s+a\s+looking\s+for\s+on\s+your\s+next\s+bill\s+balance\s+should\s+see\s+a\s+Additional\s+Charges\s+showing\s+Was\s+Issued\s+getting\s+that\s+for\s+remaining\s+will\s+get\s+gave\s+you\s+prorated\s+one\s+day\s+Giving\s+Us\s+on\s+the\s+account\s+for\s+today\s+put\s+on\s+account\s+towards\s+the\s+next\s+months))(?=.*(?:card\s+not\s+working\s+slash\s+adjustment\s+section\s+correct\s+report\s+issue\s+scores\s+Kard\s+Car))(?=.*(?:phone\s+wireless\s+include\s+increase\s+previous\s+current))(?=.*(?:Refund\s+Refunded))(?=.*(?:Final3\s+Final4))(?=.*(?:Final1\s+Final2)).*$,,IGNORECASE
449,Desktop Latency - Agent,TWC,"Identifies calls where the Agent indicates there is a delay related to system slowness Computer is slow, computer is running slow, computer is frozen, system is slow, system is frozen",Technical,System Problem,"Q1 = OR(computer running slow, computer is moving slow, computer is frozen, computer is super slow, \
computer is very slow, waiting for my computer, computer is running a little slow, computer is a little slow,Computer is updating, computer just froze, \
compter is freezing, computer is slower than normal, computer is loading)

Q2 = OR(system is slow, system is running slow, system is forzen, system is a littel slow, system is loading)

Q3 = OR(Q1, Q2)

Q4 = OR(tech, error, happy to, assist you, trouble,inconvience, internet, on line, service, \
modem, not working, confusion, problem, name and address)

Q5 = ANDNOT_5(Q3, Q4)

Q6 = OR(apologize, sorry, bear with me, one moment)

Final = AND_5(Q5, Q6)",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),"[[""computer running slow"", ""computer is moving slow"", ""computer is frozen"", ""computer is super slow"", ""computer is very slow"", ""waiting for my computer"", ""computer is running a little slow"", ""computer is a little slow"", ""Computer is updating"", ""computer just froze"", ""compter is freezing"", ""computer is slower than normal"", ""computer is loading""], [""system is slow"", ""system is running slow"", ""system is forzen"", ""system is a littel slow"", ""system is loading""], [""Q1"", ""Q2""], [""tech"", ""error"", ""happy to"", ""assist you"", ""trouble"", ""inconvience"", ""internet"", ""on line"", ""service"", ""modem"", ""not working"", ""confusion"", ""problem""], [""apologize"", ""sorry"", ""bear with me"", ""one moment""], [""Q5""], [""Q6""]]",[],5,,,^(?=.*(?:computer\s+running\s+slow|computer\s+is\s+moving\s+slow|computer\s+is\s+frozen|computer\s+is\s+super\s+slow|computer\s+is\s+very\s+slow|waiting\s+for\s+my\s+computer|computer\s+is\s+running\s+a\s+little\s+slow|computer\s+is\s+a\s+little\s+slow|Computer\s+is\s+updating|computer\s+just\s+froze|compter\s+is\s+freezing|computer\s+is\s+slower\s+than\s+normal|computer\s+is\s+loading))(?=.*(?:system\s+is\s+slow|system\s+is\s+running\s+slow|system\s+is\s+forzen|system\s+is\s+a\s+littel\s+slow|system\s+is\s+loading))(?=.*(?:Q1|Q2))(?=.*(?:tech|error|happy\s+to|assist\s+you|trouble|inconvience|internet|on\s+line|service|modem|not\s+working|confusion|problem))(?=.*(?:apologize|sorry|bear\s+with\s+me|one\s+moment))(?=.*(?:Q5))(?=.*(?:Q6)).*$,,IGNORECASE
450,Digital Cable (DCI),TWC,Calls where TWC is requesting customers with analog boxes to convert to digital; customers receive a letter or a message on their TV screen,Technical,Cable related,"DCI=OR(Conversion to digital Digital Conversion Converted the digital cable Converting to digital cable 
NOTLIKE(Upgrading to digital cable service Digital Home Phone Service) )",Full conversation text (timestamps & speaker labels allowed),No specific speaker constraint (match anywhere),[],"[""Upgrading to digital cable service Digital Home Phone Service""]",,,,^(?!.*Upgrading\s+to\s+digital\s+cable\s+service\s+Digital\s+Home\s+Phone\s+Service).*$,,IGNORECASE
